,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,0,240,40,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,1,240,30,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,2,240,20,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,3,240,10,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,4,240,0,480,420,50,,,,150,50,RIGHT,RIGHT,0
5,5,240,-10,470,420,50,,,,160,50,RIGHT,RIGHT,0
6,6,240,-20,460,420,50,,,,170,50,RIGHT,RIGHT,0
7,7,240,-30,450,420,50,,,,180,50,RIGHT,RIGHT,0
8,8,240,-40,440,420,50,,,,190,50,RIGHT,RIGHT,0
9,9,240,-50,430,420,50,,,,200,50,RIGHT,RIGHT,0
10,10,240,-60,420,420,50,,,,210,50,RIGHT,RIGHT,0
11,11,240,-70,410,420,50,,,,220,50,RIGHT,RIGHT,0
12,12,240,-80,400,420,50,,,,230,50,RIGHT,RIGHT,0
13,13,240,-90,390,420,50,,,,240,50,RIGHT,RIGHT,0
14,14,90,230,410,240,390,,,,240,60,RIGHT,DOWN,0
15,15,90,220,400,240,390,,,,240,70,DOWN,DOWN,0
16,16,90,210,390,240,390,,,,240,80,DOWN,DOWN,0
17,17,90,200,380,240,390,,,,240,90,DOWN,DOWN,0
18,18,90,190,370,240,390,,,,240,100,DOWN,DOWN,0
19,19,90,180,360,240,390,,,,240,110,DOWN,DOWN,0
20,20,90,170,350,240,390,,,,240,120,DOWN,DOWN,0
21,21,90,160,340,240,390,,,,240,130,DOWN,DOWN,0
22,22,90,150,330,240,390,,,,240,140,DOWN,DOWN,0
23,23,90,140,320,240,390,,,,240,150,DOWN,DOWN,0
24,24,90,130,310,240,390,,,,240,160,DOWN,DOWN,0
25,25,90,120,300,240,390,,,,240,170,DOWN,DOWN,0
26,26,90,110,290,240,390,,,,240,180,DOWN,DOWN,0
27,27,90,100,280,240,390,,,,240,190,DOWN,DOWN,0
28,28,90,90,270,240,390,,,,240,200,DOWN,DOWN,0
29,29,90,80,260,240,390,,,,240,210,DOWN,DOWN,0
30,30,90,70,250,240,390,,,,240,220,DOWN,DOWN,0
31,31,90,60,240,240,390,,,,240,230,DOWN,DOWN,0
32,32,90,50,230,240,390,,,,240,240,DOWN,DOWN,0
33,33,90,40,220,240,390,,,,240,250,DOWN,DOWN,0
34,34,90,30,210,240,390,,,,240,260,DOWN,DOWN,0
35,35,90,20,200,240,390,,,,240,270,DOWN,DOWN,0
36,36,90,10,190,240,390,,,,240,280,DOWN,DOWN,0
37,37,90,0,180,240,390,,,,240,290,DOWN,DOWN,0
38,38,0,80,230,290,180,,,,230,290,DOWN,LEFT,0
39,39,0,70,220,290,180,,,,220,290,LEFT,LEFT,0
40,40,0,60,210,290,180,,,,210,290,LEFT,LEFT,0
41,41,0,50,200,290,180,,,,200,290,LEFT,LEFT,0
42,42,0,40,190,290,180,,,,190,290,LEFT,LEFT,0
43,43,0,30,180,290,180,,,,180,290,LEFT,LEFT,0
44,44,0,20,170,290,180,,,,170,290,LEFT,LEFT,0
45,45,0,10,160,290,180,,,,160,290,LEFT,LEFT,0
46,46,0,0,150,290,180,,,,150,290,LEFT,LEFT,0
47,47,-80,-280,140,290,180,,,,140,290,LEFT,LEFT,1
48,48,-80,-290,130,290,180,,,,130,290,LEFT,LEFT,1
49,49,-290,70,170,130,500,,,,130,300,LEFT,DOWN,1
50,50,-290,60,160,130,500,,,,130,310,DOWN,DOWN,1
51,51,-290,50,150,130,500,,,,130,320,DOWN,DOWN,1
52,52,-290,40,140,130,500,,,,130,330,DOWN,DOWN,1
